사고유형대분류,사고유형중분류,구분,시간대,값
차대사람,횡단중,사고[건],00~02시,950
차대사람,횡단중,사고[건],02~04시,484
차대사람,횡단중,사고[건],04~06시,652
차대사람,횡단중,사고[건],06~08시,1080
차대사람,횡단중,사고[건],08~10시,1490
차대사람,횡단중,사고[건],10~12시,1192
차대사람,횡단중,사고[건],12~14시,1350
차대사람,횡단중,사고[건],14~16시,1679
차대사람,횡단중,사고[건],16~18시,1993
차대사람,횡단중,사고[건],18~20시,2707
차대사람,횡단중,사고[건],20~22시,2241
차대사람,횡단중,사고[건],22~24시,1726
차대사람,횡단중,사망[명],00~02시,61
차대사람,횡단중,사망[명],02~04시,36
차대사람,횡단중,사망[명],04~06시,103
차대사람,횡단중,사망[명],06~08시,103
차대사람,횡단중,사망[명],08~10시,34
차대사람,횡단중,사망[명],10~12시,50
차대사람,횡단중,사망[명],12~14시,34
차대사람,횡단중,사망[명],14~16시,36
차대사람,횡단중,사망[명],16~18시,55
차대사람,횡단중,사망[명],18~20시,148
차대사람,횡단중,사망[명],20~22시,124
차대사람,횡단중,사망[명],22~24시,99
차대사람,횡단중,부상[명],00~02시,991
차대사람,횡단중,부상[명],02~04시,525
차대사람,횡단중,부상[명],04~06시,601
차대사람,횡단중,부상[명],06~08시,1014
차대사람,횡단중,부상[명],08~10시,1521
차대사람,횡단중,부상[명],10~12시,1206
차대사람,횡단중,부상[명],12~14시,1379
차대사람,횡단중,부상[명],14~16시,1710
차대사람,횡단중,부상[명],16~18시,2049
차대사람,횡단중,부상[명],18~20시,2742
차대사람,횡단중,부상[명],20~22시,2304
차대사람,횡단중,부상[명],22~24시,1796
차대사람,차도통행중,사고[건],00~02시,183
차대사람,차도통행중,사고[건],02~04시,105
차대사람,차도통행중,사고[건],04~06시,115
차대사람,차도통행중,사고[건],06~08시,123
차대사람,차도통행중,사고[건],08~10시,239
차대사람,차도통행중,사고[건],10~12시,227
차대사람,차도통행중,사고[건],12~14시,237
차대사람,차도통행중,사고[건],14~16시,285
차대사람,차도통행중,사고[건],16~18시,340
차대사람,차도통행중,사고[건],18~20시,458
차대사람,차도통행중,사고[건],20~22시,431
차대사람,차도통행중,사고[건],22~24시,316
차대사람,차도통행중,사망[명],00~02시,16
차대사람,차도통행중,사망[명],02~04시,11
차대사람,차도통행중,사망[명],04~06시,13
차대사람,차도통행중,사망[명],06~08시,8
차대사람,차도통행중,사망[명],08~10시,4
차대사람,차도통행중,사망[명],10~12시,7
차대사람,차도통행중,사망[명],12~14시,5
차대사람,차도통행중,사망[명],14~16시,8
차대사람,차도통행중,사망[명],16~18시,13
차대사람,차도통행중,사망[명],18~20시,20
차대사람,차도통행중,사망[명],20~22시,19
차대사람,차도통행중,사망[명],22~24시,22
차대사람,차도통행중,부상[명],00~02시,183
차대사람,차도통행중,부상[명],02~04시,97
차대사람,차도통행중,부상[명],04~06시,109
차대사람,차도통행중,부상[명],06~08시,120
